UFL,UFC,UFR,Vel_Izq,Vel_Der
2352,167,37,126,113
2326,169,46,126,113
2351,160,45,126,113
2316,108,2,108,131
2335,164,50,141,98
2354,162,45,126,113
2328,164,45,126,113
2349,167,46,126,113
2337,169,45,126,113
2298,170,45,126,113
2326,161,45,126,113
2316,169,45,126,113
2317,166,48,126,113
2282,160,45,126,113
2297,162,43,126,113
2295,113,29,108,131
2267,165,46,141,98
2357,159,42,126,113
2345,170,48,126,113
2282,173,47,126,113
2309,167,46,126,113
2308,166,48,126,113
2300,157,45,126,113
2326,157,41,126,113
2306,165,47,126,113
2295,103,48,108,131
2334,153,46,141,98
2323,108,2,108,131
2343,148,48,123,116
2369,153,44,141,98
2327,147,49,108,131
2375,106,0,123,116
2356,147,47,123,116
2347,145,47,123,116
2325,147,48,123,116
2310,140,56,123,116
2315,142,48,123,116
2278,94,38,123,116
2261,139,45,123,116
2253,143,48,123,116
2320,135,44,123,116
2287,127,45,123,116
2298,125,41,123,116
2285,124,48,123,116
2310,126,47,123,116
2316,118,40,123,116
2320,126,46,123,116
2331,119,48,123,116
2408,122,48,123,116
2427,118,49,123,116
2390,119,50,123,116
2359,116,46,123,116
2366,118,48,123,116
2317,122,47,123,116
2334,113,50,123,116
2353,111,48,123,116
2375,114,46,123,116
2359,114,48,123,116
2320,115,50,123,116
2346,111,48,123,116
2351,113,49,123,116
2372,111,50,123,116
2376,110,50,123,116
2336,105,51,123,116
2317,106,50,123,116
2351,108,51,123,116
2320,108,52,123,116
2299,61,50,123,116
2322,107,52,123,116
2273,57,55,123,116
2277,102,51,123,116
2299,103,51,123,116
2277,102,52,123,116
2284,102,13,123,116
2256,55,5,123,116
2298,47,1,123,116
2283,48,2,123,116
2291,97,51,123,116
2281,97,54,123,116
2315,50,17,123,116
2324,94,56,123,116
2252,48,13,123,116
2340,92,58,123,116
2388,95,57,123,116
2379,102,58,123,116
2376,90,60,123,116
2358,36,5,123,116
2334,33,19,123,116
2354,94,30,123,116
2261,51,17,123,116
2302,88,66,123,116
2258,83,70,123,116
2279,84,70,123,116
2199,39,20,123,116
2274,83,68,123,116
2253,83,70,123,116
2194,77,65,123,116
