UFL,UFC,UFR,Vel_Izq,Vel_Der
2547,414,109,90,79
2554,460,107,90,79
2569,283,110,90,79
2568,261,107,90,79
2558,260,110,90,79
2561,268,105,90,79
2562,263,114,90,79
2578,254,112,90,79
2565,255,113,90,79
2552,249,115,90,79
2574,243,113,90,79
2570,250,107,90,79
2547,265,110,90,79
2552,245,105,90,79
2600,237,107,90,79
2639,237,112,90,79
2578,234,112,90,79
2555,230,104,90,79
2479,224,108,90,79
2418,232,113,90,79
2535,233,108,90,79
2730,230,114,90,79
2698,231,110,90,79
2642,222,114,90,79
2599,234,122,90,79
2563,226,108,90,79
2544,224,112,90,79
2556,215,109,83,86
2557,225,109,95,74
2578,231,116,90,79
2582,225,111,90,79
2533,216,111,90,79
2492,216,117,90,79
2509,217,119,90,79
2514,213,112,83,86
2534,213,111,88,81
2523,209,109,88,81
2533,206,107,88,81
2534,215,114,88,81
2533,212,121,88,81
2525,211,113,88,81
2510,207,117,88,81
2512,208,115,88,81
2512,214,115,88,81
2498,208,109,88,81
2525,213,115,88,81
2523,205,110,88,81
2518,207,105,88,81
2491,211,111,88,81
2489,208,108,88,81
2492,209,107,88,81
2498,214,107,88,81
2476,220,116,95,74
2437,215,109,83,86
2438,217,122,95,74
2442,218,109,90,79
2472,223,116,90,79
2471,220,109,90,79
2452,225,112,90,79
2454,214,102,83,86
2455,223,112,95,74
2475,225,116,90,79
2489,227,115,90,79
2483,228,106,90,79
2486,229,114,90,79
2476,231,107,90,79
2482,242,123,90,79
2481,230,107,90,79
2461,238,102,90,79
2476,234,115,90,79
2483,231,109,90,79
2489,238,112,90,79
2501,239,106,90,79
2511,244,109,90,79
2499,255,112,90,79
2499,261,107,90,79
2480,236,109,90,79
2463,243,114,90,79
2454,236,106,90,79
2459,240,112,90,79
2431,257,112,90,79
2428,267,112,90,79
2452,264,103,90,79
2430,244,113,90,79
2466,255,110,90,79
2482,259,103,90,79
2506,247,107,90,79
2481,237,114,90,79
2469,248,115,90,79
2473,242,109,90,79
2437,253,110,90,79
2467,240,116,90,79
2471,257,112,90,79
2494,252,108,90,79
2503,249,107,90,79
2469,257,111,90,79
2489,257,112,90,79
2501,256,108,90,79
2474,257,109,90,79
2445,268,115,90,79
2445,251,116,90,79
2444,241,109,90,79
2434,243,112,90,79
2421,248,110,90,79
2431,244,111,90,79
2451,244,114,90,79
2479,262,107,90,79
2483,254,103,90,79
2493,232,116,90,79
2489,262,108,90,79
2485,260,120,90,79
2517,264,105,90,79
2486,245,117,90,79
2522,261,105,90,79
2486,233,116,90,79
2496,252,110,90,79
2507,272,118,90,79
2495,243,118,90,79
2469,265,117,90,79
2474,267,122,90,79
2465,261,110,90,79
2430,251,121,90,79
2448,252,118,90,79
2427,269,121,90,79
2455,262,118,90,79
2442,261,108,90,79
2441,255,117,90,79
2476,252,116,90,79
2477,253,114,90,79
2483,260,121,90,79
2490,252,112,90,79
2476,277,115,90,79
2475,262,115,90,79
2551,251,117,90,79
2467,254,129,90,79
2482,247,126,90,79
2490,255,114,90,79
2494,264,116,90,79
2515,267,125,90,79
2518,255,113,90,79
2517,267,114,90,79
2492,276,115,90,79
2499,263,131,90,79
2479,250,117,90,79
2531,265,113,90,79
2511,273,116,90,79
2526,288,130,90,79
2525,253,130,90,79
2535,301,118,90,79
2516,246,121,90,79
2543,265,134,90,79
2537,250,119,90,79
2555,252,123,90,79
2543,250,132,90,79
2544,254,118,90,79
